nodeid,nodetype,x,y,z,S11,S22,S33,S12,S13,S12,mises
86,1,0.013043,0.051988,0.000000,1117.863525,-1895060.781250,-108917.667969,11569.092651,-8495.487610,-72875.425293,1826889.000000
87,1,0.013043,0.072488,0.000000,10573.021851,-1862242.562500,-28412.537399,5369.623535,1690.142395,-14700.397255,1826889.000000
88,1,0.013043,0.092988,0.000000,8208.068192,-1862983.593750,-6335.101730,5341.490936,4258.393173,4243.035789,1855349.000000
89,1,0.013043,0.113487,0.000000,6982.782471,-1887796.203125,-6673.693848,2890.591461,4606.651459,22198.883545,1909765.375000
90,1,0.013043,0.133987,0.000000,-18863.275949,-1970357.446429,-42873.898717,-5781.504447,19596.915248,85603.554688,1986527.125000
91,1,0.200138,-0.020027,0.105093,3578.439331,-343742.768229,-11184.611593,-101565.266927,-7939.143840,3105.051453,389471.562500
92,1,0.197150,-0.039855,0.105093,-41550.497162,-221710.598633,6070.453186,-124602.871094,-8563.449262,14828.082275,210490.796875
93,1,0.192202,-0.059286,0.105093,-58460.847453,-44158.162109,23066.414632,-82969.194499,-11542.940674,13360.378840,210490.796875
94,1,0.185344,-0.078129,0.105093,-38195.055249,-33990.804688,33854.622070,-33935.462244,-3532.779004,10107.572107,193654.140625
95,1,0.176644,-0.096195,0.105093,-9095.080966,-51702.087158,34115.179199,-8371.911709,-12896.259857,-4359.796738,234242.078125
96,1,0.166188,-0.113305,0.105093,16300.756222,-77878.697754,15374.818359,5313.034993,-13661.122640,3959.005778,203070.578125
97,1,0.154081,-0.129289,0.105093,-38258.669108,-69678.214681,11069.562195,-47618.010254,-16585.720701,-11701.511068,270088.218750
98,1,0.140442,-0.143988,0.105093,-39199.541341,-88761.417419,10587.493866,-50708.415080,-24340.222778,297.863495,316512.312500
99,1,0.125407,-0.157256,0.105093,-37518.727865,-188236.924479,13800.212316,-99356.187500,-16061.546468,-16715.347493,372838.718750
100,1,0.109127,-0.168961,0.105093,-118296.077393,-291038.088542,9171.446599,-295872.057292,-41340.460938,-33739.450033,577456.625000
101,1,0.091761,-0.178987,0.105093,-476933.117188,-493399.213542,-59206.978790,-535120.442708,-30252.126648,-33559.393229,819849.437500
102,1,0.073484,-0.187234,0.105093,-708025.464844,-1027913.156250,-443421.632812,-481194.239258,24008.027679,135326.072266,1010010.062500
103,1,0.054476,-0.193620,0.105093,-211323.446615,-268920.924479,-122793.436198,64242.015218,-425.508219,48568.378581,170763.937500
104,1,0.034927,-0.198082,0.105093,-152166.121094,-224947.353516,-87792.857666,140174.004883,-13345.675964,46016.997559,341635.093750
105,1,0.015031,-0.200575,0.105093,-194714.430664,-497017.898438,-207519.703125,109911.179688,-17895.982239,97584.234375,472225.718750
106,1,-0.005015,-0.201075,0.105093,-173131.319661,-580134.171875,-172121.005208,-21130.581055,6159.443380,99190.062500,462274.718750
107,1,-0.025010,-0.199577,0.105093,-150012.124023,-413604.515625,-104245.339844,-100415.907552,16018.370138,57386.622884,497365.750000
108,1,-0.044757,-0.196095,0.105093,-143274.960938,-184958.328125,-78142.749023,-95455.298177,19221.846110,45557.905924,232451.500000
109,1,-0.064060,-0.190664,0.105093,-170436.614583,-226019.868490,-99494.243164,-26562.166341,7340.286631,44437.196615,177716.703125
110,1,-0.082725,-0.183338,0.105093,-476678.023438,-997207.250000,-442165.585938,252728.957031,-30085.813477,113552.574219,1084879.875000
111,1,-0.100569,-0.174190,0.105093,-551305.891927,-755522.489583,-198667.949544,655662.578125,5587.244629,-8440.005046,891612.187500
112,1,-0.117413,-0.163311,0.105093,-168291.881592,-361006.220703,26552.430783,325409.666016,44490.463257,-11911.398418,541215.250000
